model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
knn,none,none,none,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.0,0.0,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.2,0.2,5,1,0.013,0.0088,0.0101,0.0135,7.3533,0.6071,3.0356,0.9788,0.7593,0.5,-0.0453,0.5988,0.6141,-0.0153
knn,A,global_0.4,0.4,5,1,0.0072,0.005,0.0057,0.0079,2.7665,0.8582,4.2908,0.9992,0.674,0.3532,0.1021,0.8547,0.861,-0.0063
knn,A,global_0.6,0.6,5,1,0.0029,0.0022,0.0024,0.0031,0.6205,0.9861,4.9304,1.0,0.434,0.1616,0.2043,0.9856,0.9865,-0.0008
knn,A,global_0.8,0.8,5,1,0.0017,0.0013,0.0014,0.0017,0.1021,1.0,5.0,1.0,0.1534,0.0507,-0.0314,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,1,0.0103,0.007,0.008,0.0109,4.9097,0.7446,3.7232,0.9868,0.725,0.4428,0.0403,0.8708,0.64,0.2309
knn,A,semantic,p,5,1,0.004,0.0029,0.0032,0.0039,1.0793,0.9564,4.782,0.9994,0.4882,0.2183,0.1444,0.9509,0.961,-0.0101
knn,A,hybrid_5,p,5,1,0.0077,0.0053,0.006,0.0083,3.1873,0.8368,4.1842,0.9972,0.6784,0.3725,0.0971,0.9138,0.773,0.1408
knn,A,hybrid_10,p,5,1,0.0067,0.0047,0.0053,0.0072,2.4073,0.8821,4.4104,0.9988,0.6369,0.328,0.1212,0.9278,0.8441,0.0837
knn,A,hybrid_20,p,5,1,0.006,0.0042,0.0047,0.006,1.8332,0.916,4.5802,0.9992,0.5919,0.2866,0.1516,0.9384,0.8975,0.0409
knn,B,global_0.0,0.0,5,1,0.017,0.0115,0.0133,0.0182,15.6006,0.2484,1.242,0.768,0.4444,0.462,-0.0793,0.25,0.2471,0.003
knn,B,global_0.2,0.2,5,1,0.015,0.0101,0.0117,0.0153,9.6863,0.5056,2.528,0.9788,0.7597,0.5313,-0.0619,0.5039,0.507,-0.0031
knn,B,global_0.4,0.4,5,1,0.0139,0.0093,0.0108,0.0134,7.6679,0.6021,3.0106,0.9992,0.7405,0.4895,0.0967,0.5981,0.6054,-0.0073
knn,B,global_0.6,0.6,5,1,0.012,0.0081,0.0094,0.0108,5.9233,0.7045,3.5226,1.0,0.6903,0.4288,0.2254,0.7001,0.7082,-0.008
knn,B,global_0.8,0.8,5,1,0.0106,0.0071,0.0083,0.0096,4.5522,0.7917,3.9586,1.0,0.5297,0.3275,0.2487,0.7918,0.7917,0.0001
knn,B,global_1.0,1.0,5,1,0.0011,0.0006,0.0008,0.0008,1.3958,0.8,4.0,1.0,0.002,0.0009,0.3589,0.8,0.8,0.0
knn,B,behavioral,p,5,1,0.0146,0.0098,0.0114,0.0145,8.6263,0.5586,2.7928,0.9866,0.7457,0.5093,0.0334,0.6141,0.5125,0.1016
knn,B,semantic,p,5,1,0.0123,0.0082,0.0096,0.0111,6.0709,0.6948,3.4738,0.9994,0.6776,0.4297,0.1964,0.6862,0.7019,-0.0157
knn,B,hybrid_5,p,5,1,0.0143,0.0096,0.0111,0.0137,7.7841,0.5977,2.9886,0.9972,0.7393,0.4922,0.0881,0.6323,0.569,0.0632
knn,B,hybrid_10,p,5,1,0.0137,0.0092,0.0107,0.013,7.3375,0.6203,3.1016,0.9988,0.735,0.4816,0.1141,0.6456,0.5993,0.0463
knn,B,hybrid_20,p,5,1,0.0133,0.009,0.0104,0.0123,6.94,0.6437,3.2184,0.9992,0.723,0.4668,0.1485,0.6588,0.6311,0.0277
knn,none,none,none,5,2,0.0152,0.0098,0.0116,0.0168,15.134,0.277,1.3848,0.8026,0.6257,0.6224,-0.0962,0.274,0.2794,-0.0055
knn,A,global_0.0,0.0,5,2,0.0152,0.0098,0.0116,0.0168,15.134,0.277,1.3848,0.8026,0.6257,0.6224,-0.0962,0.274,0.2794,-0.0055
knn,A,global_0.2,0.2,5,2,0.0138,0.009,0.0106,0.015,7.5661,0.6038,3.0188,0.9752,0.7601,0.4964,-0.0737,0.5944,0.6115,-0.017
knn,A,global_0.4,0.4,5,2,0.0101,0.0067,0.0078,0.0106,2.967,0.8546,4.2728,0.999,0.6704,0.3445,0.0993,0.8453,0.8623,-0.017
knn,A,global_0.6,0.6,5,2,0.0048,0.0034,0.0039,0.0051,0.7061,0.9816,4.908,1.0,0.4213,0.1575,0.202,0.9793,0.9835,-0.0043
knn,A,global_0.8,0.8,5,2,0.0022,0.0014,0.0016,0.0024,0.0996,1.0,5.0,1.0,0.1523,0.0503,0.0029,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,2,0.0007,0.0005,0.0006,0.0007,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,2,0.0117,0.0076,0.0089,0.0129,5.155,0.737,3.685,0.9866,0.7254,0.4371,0.0137,0.8613,0.634,0.2272
knn,A,semantic,p,5,2,0.0061,0.0042,0.0048,0.0064,1.3926,0.9423,4.7116,0.9996,0.5217,0.235,0.1529,0.9335,0.9496,-0.0161
knn,A,hybrid_5,p,5,2,0.0107,0.0071,0.0083,0.0115,3.4676,0.8262,4.1308,0.9966,0.6855,0.3717,0.0734,0.8966,0.7678,0.1287
knn,A,hybrid_10,p,5,2,0.0093,0.0062,0.0072,0.0101,2.7601,0.8665,4.3324,0.9978,0.6528,0.3339,0.1013,0.9101,0.8304,0.0797
knn,A,hybrid_20,p,5,2,0.008,0.0054,0.0062,0.009,2.1828,0.8994,4.4972,0.9996,0.6122,0.2979,0.1298,0.9185,0.8836,0.0349
knn,B,global_0.0,0.0,5,2,0.0166,0.0106,0.0126,0.018,15.9373,0.2468,1.234,0.7614,0.4472,0.4617,-0.0938,0.2419,0.2508,-0.0089
knn,B,global_0.2,0.2,5,2,0.0151,0.0098,0.0116,0.0161,9.8548,0.5052,2.526,0.9752,0.764,0.5267,-0.0739,0.5005,0.5091,-0.0085
knn,B,global_0.4,0.4,5,2,0.0145,0.0094,0.0111,0.0143,7.804,0.6037,3.0184,0.999,0.7373,0.4845,0.0802,0.5972,0.6091,-0.0119
knn,B,global_0.6,0.6,5,2,0.0132,0.0086,0.0101,0.0121,6.0892,0.7036,3.5182,1.0,0.6879,0.4222,0.2179,0.7002,0.7065,-0.0063
knn,B,global_0.8,0.8,5,2,0.0122,0.0079,0.0093,0.0109,4.6567,0.7908,3.9538,1.0,0.5157,0.3139,0.2466,0.7893,0.792,-0.0026
knn,B,global_1.0,1.0,5,2,0.0007,0.0004,0.0005,0.0007,1.3997,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
knn,B,behavioral,p,5,2,0.0146,0.0095,0.0112,0.0154,8.8155,0.5586,2.793,0.986,0.7505,0.5032,0.0035,0.612,0.5143,0.0977
knn,B,semantic,p,5,2,0.0139,0.009,0.0107,0.0129,6.4295,0.6844,3.422,0.9996,0.7007,0.4362,0.1817,0.6761,0.6913,-0.0152
knn,B,hybrid_5,p,5,2,0.0146,0.0094,0.0111,0.0148,8.0742,0.5934,2.9672,0.9966,0.7397,0.4871,0.0728,0.6285,0.5644,0.0641
knn,B,hybrid_10,p,5,2,0.0144,0.0093,0.011,0.0143,7.6537,0.6134,3.0672,0.9978,0.7338,0.4771,0.1043,0.6382,0.5929,0.0453
knn,B,hybrid_20,p,5,2,0.0143,0.0091,0.0108,0.0141,7.2312,0.6366,3.183,0.9996,0.723,0.4634,0.1299,0.6504,0.6252,0.0252
knn,none,none,none,5,3,0.0147,0.0097,0.0112,0.0152,15.3576,0.2735,1.3674,0.8032,0.6281,0.6351,-0.0875,0.2705,0.276,-0.0055
knn,A,global_0.0,0.0,5,3,0.0147,0.0097,0.0112,0.0152,15.3576,0.2735,1.3674,0.8032,0.6281,0.6351,-0.0875,0.2705,0.276,-0.0055
knn,A,global_0.2,0.2,5,3,0.0131,0.0087,0.01,0.0136,7.4838,0.6122,3.0612,0.9784,0.7617,0.5034,-0.0498,0.6054,0.618,-0.0126
knn,A,global_0.4,0.4,5,3,0.0088,0.006,0.0067,0.0096,2.7819,0.8608,4.3038,0.9986,0.6656,0.3457,0.0946,0.8532,0.8671,-0.0139
knn,A,global_0.6,0.6,5,3,0.0048,0.0032,0.0037,0.0048,0.638,0.9846,4.923,1.0,0.4129,0.1554,0.2151,0.9847,0.9845,0.0002
knn,A,global_0.8,0.8,5,3,0.0021,0.0014,0.0016,0.0022,0.0995,1.0,5.0,1.0,0.1491,0.0492,-0.0123,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,3,0.0012,0.0008,0.0009,0.0009,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,3,0.0106,0.0072,0.0082,0.011,5.0545,0.7407,3.7034,0.9876,0.7182,0.4434,0.0293,0.8659,0.6347,0.2312
knn,A,semantic,p,5,3,0.0042,0.0028,0.0032,0.004,0.6301,0.9801,4.9004,1.0,0.3854,0.1549,0.1335,0.9751,0.9843,-0.0091
knn,A,hybrid_5,p,5,3,0.0091,0.0062,0.007,0.0095,2.9403,0.8541,4.2704,0.9978,0.6509,0.3495,0.1011,0.9195,0.7987,0.1209
knn,A,hybrid_10,p,5,3,0.0077,0.0054,0.006,0.0082,2.0453,0.9041,4.5204,0.9992,0.5967,0.295,0.1432,0.9407,0.8731,0.0675
knn,A,hybrid_20,p,5,3,0.0068,0.0048,0.0053,0.007,1.4069,0.9403,4.7016,0.9998,0.5281,0.2407,0.1783,0.9572,0.9261,0.0311
knn,B,global_0.0,0.0,5,3,0.0157,0.0102,0.0119,0.0165,16.0158,0.2449,1.2244,0.7538,0.4679,0.4729,-0.0912,0.2404,0.2487,-0.0083
